date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1996-09-07,SE-07,Sarawak,N.26 Saribas,9226,5708,11,123,5574,1996,61.86863212659874,35.80911374237532,2.1590310689836754,0.19271198318149965
1996-09-07,SE-07,Sarawak,N.27 Layar,10636,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.28 Kalaka,12865,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.29 Krian,9931,7234,15,60,7159,477,72.84261403685429,6.6629417516412905,0.831140047097936,0.20735416090682887
1996-09-07,SE-07,Sarawak,N.30 Belawai,9172,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.31 Serdeng,7923,5660,4,108,5548,2747,71.43758677268711,49.51333813987022,1.9094766619519095,0.0706713780918728
1996-09-07,SE-07,Sarawak,N.32 Matu Daro,9853,7167,19,188,6960,4578,72.73926722825536,65.77586206896552,2.630106323447118,0.26510394865355097
1996-09-07,SE-07,Sarawak,N.33 Meradong,13951,10093,24,122,9947,1258,72.34606838219483,12.647029255051775,1.2116396861654581,0.23778856633310214
1996-09-07,SE-07,Sarawak,N.34 Repok,18250,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.35 Pakan,7608,5614,0,138,5476,330,73.79074658254468,6.026296566837107,2.458140363377271,0.0
1996-09-07,SE-07,Sarawak,N.36 Meluan,9456,6917,20,139,6758,131,73.14932318104907,1.9384433264279373,2.015369001014934,0.28914269191846176
1996-09-07,SE-07,Sarawak,N.37 Ngemah,7581,4768,8,111,4649,1707,62.89407729850943,36.71757367175737,2.331932773109244,0.16778523489932887
1996-09-07,SE-07,Sarawak,N.38 Machan,9932,7250,5,116,7129,2230,72.99637535239629,31.280684527984288,1.601104209799862,0.06896551724137931
1996-09-07,SE-07,Sarawak,N.39 Bukit Assek,18310,11591,23,82,11486,226,63.30420535226652,1.9676127459515933,0.7088520055325035,0.19842981623673542
1996-09-07,SE-07,Sarawak,N.40 Dudong,18353,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.41 Bawang Assan,18388,11300,5,98,11197,2709,61.45312160104416,24.19398053049924,0.8676405489154493,0.04424778761061947
1996-09-07,SE-07,Sarawak,N.42 Pelawan,20733,14043,32,65,13946,974,67.7326002025756,6.984081457048616,0.46392120476768256,0.22787153742077904
1996-09-07,SE-07,Sarawak,N.43 Nangka,13827,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.44 Dalat,14113,8979,22,186,8771,3907,63.62219230496705,44.544521719302246,2.0765881433515685,0.2450161487916249
1996-09-07,SE-07,Sarawak,N.45 Balingian,10971,7437,37,187,7213,2031,67.787804211102,28.15749341466796,2.5270270270270268,0.4975124378109453
1996-09-07,SE-07,Sarawak,N.46 Tamin,10072,6410,4,121,6285,3023,63.6417791898332,48.09864757358791,1.8888541991882608,0.062402496099843996
1996-09-07,SE-07,Sarawak,N.47 Kakus,9033,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.48 Pelagus,12937,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.49 Katibas,8363,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.50 Baleh,9631,6334,7,154,6173,4649,65.76679472536601,75.3118418921108,2.43401296032875,0.11051468266498263
