date,election,state,seat,area_name,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result
1955-07-25,GE-00,Terengganu,P.050 Terengganu Tengah,Terengganu Tengah,1,Engku Muhsein Bin Abdul Kadir,124,PERIKATAN,2,19038,80.04540867810293,won
1955-07-25,GE-00,Terengganu,P.050 Terengganu Tengah,Terengganu Tengah,2,Sulaiman Bin Ali,125,BEBAS,1,4746,19.954591321897077,lost
1955-07-25,GE-00,Terengganu,P.051 Terengganu Selatan,Terengganu Selatan,1,Wan Yahya Bin Haji Wan Mohd.,126,PERIKATAN,2,16345,86.14873767986086,won
1955-07-25,GE-00,Terengganu,P.051 Terengganu Selatan,Terengganu Selatan,2,Ibrahim Bin Matnoh,127,BEBAS,1,2628,13.851262320139146,lost
1955-07-25,GE-00,Perlis,P.052 Perlis,Perlis,1,Sheikh Ahmad Bin Mohd. Hashim,128,PERIKATAN,2,17769,66.84347139149081,won
1955-07-25,GE-00,Perlis,P.052 Perlis,Perlis,2,Matt Bin Haji Kassim,129,BEBAS,1,8814,33.1565286085092,lost
1959-05-20,GE-01,Johor,P.001 Johore Timur,Johore Timur,1,Che' Gu Ismail Ariff,130,BEBAS,1,1854,20.735935577675875,lost
1959-05-20,GE-01,Johor,P.001 Johore Timur,Johore Timur,2,Dr Ismail Bin Dato' Abdul Rahman,77,PERIKATAN,2,7087,79.26406442232413,won
1959-05-20,GE-01,Johor,P.002 Johore Bahru Timor,Johore Bahru Timor,1,C. C. Yong,131,BEBAS,1,4236,35.279420338136084,lost
1959-05-20,GE-01,Johor,P.002 Johore Bahru Timor,Johore Bahru Timor,2,Dato' Haji Mohd. Noah Bin Omar,132,PERIKATAN,2,7771,64.72057966186391,won
1959-05-20,GE-01,Johor,P.003 Johore Bahru Barat,Johore Bahru Barat,1,Zahid Karim,133,BEBAS,1,4501,38.19910039887974,lost
1959-05-20,GE-01,Johor,P.003 Johore Bahru Barat,Johore Bahru Barat,2,Ahmad Bin Mohamed Shah,134,PERIKATAN,2,7282,61.800899601120264,won
1959-05-20,GE-01,Johor,P.004 Pontian Selatan,Pontian Selatan,1,Lee Ah Leng,135,BEBAS,1,5648,37.36191043196401,lost
1959-05-20,GE-01,Johor,P.004 Pontian Selatan,Pontian Selatan,2,Hajah Zain Binti Sulaiman,136,PERIKATAN,2,9469,62.63808956803598,won
1959-05-20,GE-01,Johor,P.005 Pontian Utara,Pontian Utara,1,Abdul Jamil Bin Sulaiman,137,PAS,3,1567,9.00212558166255,lost_deposit
1959-05-20,GE-01,Johor,P.005 Pontian Utara,Pontian Utara,2,Garieb Raouf,138,BEBAS,1,3990,22.92181306371,lost
1959-05-20,GE-01,Johor,P.005 Pontian Utara,Pontian Utara,3,Sardon Bin Haji Jubir,92,PERIKATAN,2,11850,68.07606135462746,won
1959-05-20,GE-01,Johor,P.006 Kluang Selatan,Kluang Selatan,1,Tan Kai Hee,139,BEBAS,1,4540,34.150744696855725,lost
1959-05-20,GE-01,Johor,P.006 Kluang Selatan,Kluang Selatan,2,Chan Chong Wen,140,PERIKATAN,2,8754,65.84925530314428,won
1959-05-20,GE-01,Johor,P.007 Kluang Utara,Kluang Utara,1,Lee San Choon,141,PERIKATAN,2,5985,56.918687589158345,won
1959-05-20,GE-01,Johor,P.007 Kluang Utara,Kluang Utara,2,Wee Lee Fong,142,BEBAS,1,4530,43.081312410841655,lost
1959-05-20,GE-01,Johor,P.008 Batu Pahat,Batu Pahat,1,Koh Kim Boon,143,BEBAS,1,3958,26.213656533545265,lost
1959-05-20,GE-01,Johor,P.008 Batu Pahat,Batu Pahat,2,Kang Kock Seng,144,PERIKATAN,2,10261,67.9581429233724,won
1959-05-20,GE-01,Johor,P.008 Batu Pahat,Batu Pahat,3,Haji Abdullah Bin Haji,145,BEBAS,1,880,5.828200543082324,lost_deposit
1959-05-20,GE-01,Johor,P.009 Batu Pahat Dalam,Batu Pahat Dalam,1,Haji Daud Bin Haji Abdul Hamid,146,BEBAS,1,3661,21.04748763941589,lost
1959-05-20,GE-01,Johor,P.009 Batu Pahat Dalam,Batu Pahat Dalam,2,Tan Suan Kok,88,BEBAS,1,4238,24.364723467862483,lost
1959-05-20,GE-01,Johor,P.009 Batu Pahat Dalam,Batu Pahat Dalam,3,Syed Esa Bin Syed Alwee,147,PERIKATAN,2,9495,54.58778889272162,won
1959-05-20,GE-01,Johor,P.010 Muar Selatan,Muar Selatan,1,Raja Hashim Bin Haji Mahmood,148,BEBAS,1,2069,10.680363411108818,lost_deposit
1959-05-20,GE-01,Johor,P.010 Muar Selatan,Muar Selatan,2,Suleiman Bin Dato' Abdul Rahman,80,PERIKATAN,2,14795,76.37311583729094,won
1959-05-20,GE-01,Johor,P.010 Muar Selatan,Muar Selatan,3,Haji Mohamed Tahir Bin Daing Mengati,149,PAS,3,2508,12.946520751600248,lost
1959-05-20,GE-01,Johor,P.011 Muar Pantai,Muar Pantai,1,Mohamad Nor Bin Hamid,150,BEBAS,1,3731,22.097844112769486,lost
1959-05-20,GE-01,Johor,P.011 Muar Pantai,Muar Pantai,2,Seah Teng Ngiab,151,PERIKATAN,2,8997,53.28713574982231,won
1959-05-20,GE-01,Johor,P.011 Muar Pantai,Muar Pantai,3,Tan Keww Wah,152,PPP,4,2162,12.805022506515042,lost
1959-05-20,GE-01,Johor,P.011 Muar Pantai,Muar Pantai,4,Chua Ang Teck,153,BEBAS,1,1994,11.809997630893152,lost_deposit
1959-05-20,GE-01,Johor,P.012 Muar Utara,Muar Utara,1,Ahmad Bin Arshad,154,PERIKATAN,2,12744,83.41951953917655,won
1959-05-20,GE-01,Johor,P.012 Muar Utara,Muar Utara,2,Nasir Bin Abdullah,155,BEBAS,1,2533,16.58048046082346,lost
1959-05-20,GE-01,Johor,P.013 Muar Dalam,Muar Dalam,1,Aziz Bin Ishak,156,PERIKATAN,2,11329,74.16208431526577,won
1959-05-20,GE-01,Johor,P.013 Muar Dalam,Muar Dalam,2,Ahmad Bin Abu,157,BEBAS,1,3947,25.837915684734224,lost
1959-05-20,GE-01,Johor,P.014 Segamat Utara,Segamat Utara,1,Haji Abdullah Bin Haji Mohd. Salleh,158,PERIKATAN,2,6572,52.842325319610836,won
1959-05-20,GE-01,Johor,P.014 Segamat Utara,Segamat Utara,2,Syed Mohammad Bin Abdullah Al Kherd,159,PAS,3,917,7.373160730079602,lost_deposit
1959-05-20,GE-01,Johor,P.014 Segamat Utara,Segamat Utara,3,Lim Meng See,160,BEBAS,1,4948,39.78451395030956,lost
1959-05-20,GE-01,Johor,P.015 Segamat Selatan,Segamat Selatan,1,Dato' Teoh Chze Chong,161,PERIKATAN,2,7828,61.686367218282115,won
1959-05-20,GE-01,Johor,P.015 Segamat Selatan,Segamat Selatan,2,Dr Lim Chin Khean,162,BEBAS,1,4862,38.313632781717885,lost
1959-05-20,GE-01,Johor,P.016 Johore Tenggara,Johore Tenggara,1,Sayed Fa'Afar Bin Hasan Albar,163,PERIKATAN,2,0,,won_uncontested
1959-05-20,GE-01,Kedah,P.017 Alor Star,Alor Star,1,Lim Joo Kong,164,PERIKATAN,2,10730,62.271487435436136,won
